method,dataset,run,ticker filename,total return,profit per trade,total log return,avg return,avg log return,total investment,sharpe ratio,total trading days skipped,total trading days successful,total trading days
Adv-ALSTM,stocknet,2,NVS.csv,-4.875614000000013,-51.87561400000001,-0.060414409947612324,-0.10373646808510666,-0.001285412977608773,-5.432799999999958,-0.10208723505267858,0,19,47
Adv-ALSTM,stocknet,2,BABA.csv,5.429986000000035,-44.570013999999965,0.0963733873867884,0.1085997200000007,0.001927467747735768,22.990001999999997,0.054261484627099364,0,29,50
Adv-ALSTM,stocknet,2,MMM.csv,28.980513000000002,-9.019486999999998,0.2007550153884513,0.7626450789473684,0.005283026720748718,9.698958999999974,0.32439704223970794,0,20,38
Adv-ALSTM,stocknet,2,BCH.csv,5.732030000000009,-37.26796999999999,0.09672850727425303,0.13330302325581417,0.002249500169168675,-2.461726000000013,0.17133365577892762,0,19,43
Adv-ALSTM,stocknet,2,AEP.csv,13.248322999999992,-25.751677000000008,0.2512212147000445,0.3397005897435895,0.006441569607693449,1.3037490000000176,0.43873607497306705,0,23,39
Adv-ALSTM,stocknet,2,HSBC.csv,8.48114899999998,-33.51885100000002,0.24497561891376038,0.2019321190476186,0.005832752831280009,0.7070149999999771,0.43438319043228896,0,20,42
Adv-ALSTM,stocknet,2,TM.csv,11.77518000000002,-32.22481999999998,0.10001359209892077,0.26761772727272776,0.002273036184066381,7.289413999999979,0.1709963507559467,0,24,44
Adv-ALSTM,stocknet,2,EXC.csv,1.9938990000000025,-43.006101,0.07919194305083696,0.044308866666666724,0.0017598209566852658,-1.5846710000000037,0.09447431873880947,0,21,45
Adv-ALSTM,stocknet,2,CHL.csv,8.474274999999984,-34.525725000000016,0.1570502550030051,0.1970761627906973,0.003652331511697793,-3.264885000000014,0.2528225924797183,0,19,43
Adv-ALSTM,stocknet,2,MDT.csv,12.38746700000003,-24.61253299999997,0.17587780599322156,0.33479640540540617,0.004753454216033015,10.358795000000029,0.321462241159933,0,23,37
Adv-ALSTM,stocknet,2,MCD.csv,-9.789575000000013,-39.78957500000001,-0.09825337489962985,-0.3263191666666671,-0.003275112496654328,18.209784999999982,-0.17700854614211653,0,20,30
Adv-ALSTM,stocknet,2,WMT.csv,10.271243000000005,-28.728756999999995,0.1762246673276123,0.26336520512820527,0.00451858121352852,-2.6633950000000013,0.2101949004336729,0,20,39
Adv-ALSTM,stocknet,2,UL.csv,1.1480069999999998,-35.851993,0.030213013957586597,0.03102721621621621,0.0008165679447996378,2.610537000000015,0.05047297124122688,0,20,37
Adv-ALSTM,stocknet,2,RDS-B.csv,10.402825000000014,-40.597174999999986,0.22326532087892248,0.20397696078431402,0.004377751389782794,0.25119699999998346,0.20782077633599347,0,23,51
Adv-ALSTM,stocknet,2,BSAC.csv,4.772697999999995,-37.22730200000001,0.279341379652091,0.11363566666666654,0.00665098522981169,-0.6714559999999921,0.38020178884092437,0,17,42
Adv-ALSTM,stocknet,2,MSFT.csv,-1.3693989999999943,-41.369398999999994,-0.02588836023521715,-0.034234974999999855,-0.0006472090058804288,9.674129000000015,-0.03198944688927694,0,23,40
Adv-ALSTM,stocknet,2,GOOG.csv,107.91015799999991,63.91015799999991,0.1669540135846581,2.452503590909089,0.0037944093996513206,147.55005000000006,0.1907837027140356,0,25,44
Adv-ALSTM,stocknet,2,LMT.csv,21.74845399999998,-19.25154600000002,0.10283193423601433,0.5304500975609752,0.0025080959569759595,4.801710000000014,0.1959322234957032,0,20,41
Adv-ALSTM,stocknet,2,DHR.csv,-4.54796300000001,-36.54796300000001,-0.06371215471888256,-0.1421238437500003,-0.00199100483496508,5.407752999999985,-0.12732308293174638,0,15,32
Adv-ALSTM,stocknet,2,NGG.csv,4.791380000000061,-25.20861999999994,0.06796168954982082,0.1597126666666687,0.002265389651660694,-0.6324620000000607,0.14300671637455156,0,14,30
Adv-ALSTM,stocknet,2,BAC.csv,0.5440279999999849,-45.45597200000002,0.03281021990049167,0.011826695652173584,0.0007132656500106884,1.375811999999998,0.03629115881101689,0,22,46
