method,dataset,run,ticker filename,total log return,avg log return,sharpe ratio,total trading days skipped,total trading days successful,total trading days
Adv-ALSTM,stocknet,1,NEE.csv,0.1621832416429798,0.004267980043236311,0.2849976894040084,0,20,38
Adv-ALSTM,stocknet,1,ABBV.csv,0.14389862300433207,0.0026163386000787646,0.09240162280127656,0,30,55
Adv-ALSTM,stocknet,1,CVX.csv,0.2461755583789131,0.004318869445244089,0.2073159348139084,0,29,57
Adv-ALSTM,stocknet,1,SLB.csv,0.06319934037937185,0.0013166529245702467,0.06662302730629027,0,21,48
Adv-ALSTM,stocknet,1,CHTR.csv,0.143229027450185,0.003410214939290119,0.16633808074304268,0,21,42
Adv-ALSTM,stocknet,1,CODI.csv,0.11131811099372377,0.0026504312141362803,0.20418799044110572,0,20,42
Adv-ALSTM,stocknet,1,TSM.csv,0.20815464991947247,0.004956063093320773,0.31587222783054414,0,21,42
Adv-ALSTM,stocknet,1,AGFS.csv,0.6029818162154156,0.012059636324308311,0.21277702643092491,0,24,50
Adv-ALSTM,stocknet,1,PICO.csv,0.12167922731448827,0.0022533190243423755,0.06895624111485063,0,27,54
Adv-ALSTM,stocknet,1,PM.csv,0.00013222323035997838,3.573600820539956e-06,0.00025503482708572094,0,22,37
Adv-ALSTM,stocknet,1,FB.csv,-0.06085768918285101,-0.001193288023193157,-0.06822789204770864,0,30,51
Adv-ALSTM,stocknet,1,BCH.csv,0.12921710673795647,0.0030050489939059647,0.21529445507006265,0,19,43
Adv-ALSTM,stocknet,1,GE.csv,-0.08886264256636565,-0.0024016930423342068,-0.15116673593931243,0,22,37
Adv-ALSTM,stocknet,1,D.csv,0.11071015968142503,0.0033548533236795464,0.2438725223297168,0,15,33
Adv-ALSTM,stocknet,1,HD.csv,0.02052371692777204,0.000554695052101947,0.03730660098560823,0,24,37
Adv-ALSTM,stocknet,1,PTR.csv,0.32656607753240846,0.00593756504604379,0.25783612147205315,0,27,55
Adv-ALSTM,stocknet,1,MDT.csv,0.13392385251630476,0.00361956358152175,0.2426163501723343,0,23,37
Adv-ALSTM,stocknet,1,DHR.csv,0.11728825950171677,0.003665258109428649,0.23180981303867865,0,15,32
Adv-ALSTM,stocknet,1,GOOG.csv,0.1819754106661718,0.004135804787867541,0.22798538582671823,0,25,44
Adv-ALSTM,stocknet,1,NGG.csv,0.11832500348783478,0.0039441667829278266,0.25377186804107177,0,14,30
Adv-ALSTM,stocknet,1,PCLN.csv,0.09613574396726424,0.002184903271983278,0.10034508029061033,0,24,44
Adv-ALSTM,stocknet,1,JPM.csv,0.1368906226223026,0.0036023848058500682,0.20131466857806518,0,19,38
Adv-ALSTM,stocknet,1,MRK.csv,-0.03942326453254643,-0.0010654936360147685,-0.058332159729526524,0,20,37
Adv-ALSTM,stocknet,1,REX.csv,0.3028394900710923,0.0056081387050202275,0.17735075058768918,0,27,54
Adv-ALSTM,stocknet,1,SRE.csv,0.0567783211653084,0.0013848371015928878,0.08766331111622218,0,19,41
Adv-ALSTM,stocknet,1,WFC.csv,0.11231772965885674,0.002674231658544208,0.1852391841071044,0,19,42
Adv-ALSTM,stocknet,1,HON.csv,0.13403326158293907,0.0034367502969984377,0.20313718433506847,0,20,39
Adv-ALSTM,stocknet,1,AMZN.csv,0.14482337410164234,0.0030171536271175487,0.1527757493501617,0,30,48
Adv-ALSTM,stocknet,1,BRK-A.csv,-0.01592976813000893,-0.00039824420325022326,-0.027180885036482333,0,17,40
Adv-ALSTM,stocknet,1,BP.csv,0.35931760873709023,0.007984835749713117,0.3713449715382472,0,19,45
Adv-ALSTM,stocknet,1,XOM.csv,0.06710024431618038,0.0014587009633952256,0.07634522331225377,0,22,46
