method,dataset,test acc,test mcc,test ll,test rs,test ps,test avg std,test avg var,test avg entr,valid acc,valid mcc,valid ll,valid rs,valid ps,valid avg std,valid avg var,valid avg entr,dropout,run,iterations,run save path
Adv-ALSTM,kdd17,52.21681536,0.041618037,7.660079908,0.544501279,0.548287407,0.38260743,0.148872256,0.470823037,51.62329616,0.034115514,7.750721343,0.554543154,0.505420992,0.386021852,0.151617095,0.477118593,0.05,2,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.05/2
Adv-ALSTM,kdd17,51.37875101,0.02914395,7.797772539,0.500511509,0.54346015,0.363614738,0.135103211,0.437163864,51.18959108,0.024167111,7.822738353,0.52113389,0.501461276,0.367332757,0.137884676,0.44381068,0.05,3,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.05/3
Adv-ALSTM,kdd17,51.31116518,0.026932077,7.807953555,0.506905371,0.542122538,0.373865157,0.142506033,0.455272487,52.04460967,0.04107797,7.686079628,0.525183498,0.509953305,0.377653241,0.145607442,0.462314951,0.05,4,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.05/4
Adv-ALSTM,kdd17,51.67612868,0.033299608,7.748724621,0.518158568,0.545063223,0.379634053,0.147236869,0.466050809,51.87112763,0.037755069,7.713584388,0.526955201,0.508176715,0.383856624,0.150591433,0.473785546,0.05,5,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.05/5
Adv-ALSTM,kdd17,52.16274669,0.03762621,7.666395886,0.569309463,0.545454545,0.417308003,0.176399857,0.534570988,51.9330855,0.041986125,7.698198176,0.590989623,0.507829491,0.419738919,0.178390846,0.539082157,0.1,1,2000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.1/1
Adv-ALSTM,kdd17,51.47337118,0.029006912,7.781049002,0.518158568,0.542872454,0.418018579,0.177319422,0.536177778,52.10656753,0.04266421,7.67544,0.534042015,0.510401548,0.420349181,0.179222003,0.540499219,0.1,2,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.1/2
Adv-ALSTM,kdd17,51.93295485,0.040518045,7.709134218,0.503580563,0.549386161,0.412757576,0.173303932,0.526631997,51.87112763,0.038099459,7.712887641,0.535054417,0.508050949,0.416184127,0.176169813,0.533055593,0.1,3,2000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.1/3
Adv-ALSTM,kdd17,51.25709651,0.027822395,7.818117212,0.49028133,0.54305949,0.420747787,0.178883657,0.540659118,51.63568773,0.033039408,7.751336855,0.524424196,0.505859375,0.421594441,0.179617584,0.542266027,0.1,4,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.1/4
Adv-ALSTM,kdd17,50.89213301,0.015139877,7.87250092,0.531202046,0.535723498,0.430186331,0.18710947,0.558649087,51.27633209,0.026454699,7.807712234,0.535054417,0.502257068,0.433328539,0.189808011,0.564595257,0.1,5,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.1/5
Adv-ALSTM,kdd17,52.71695053,0.050261317,7.578778863,0.561381074,0.551784816,0.451246351,0.205988854,0.599197559,51.47459727,0.032142539,7.772707399,0.574538092,0.503884573,0.453292787,0.207755104,0.603080804,0.25,1,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.25/1
Adv-ALSTM,kdd17,52.10867802,0.044564063,7.681357266,0.501023018,0.551675584,0.439497679,0.196891665,0.577847632,51.6976456,0.033725083,7.742569733,0.511516072,0.506643269,0.441183954,0.198417678,0.581107962,0.25,2,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.25/2
Adv-ALSTM,kdd17,52.50067586,0.048613521,7.615609562,0.536061381,0.552160169,0.447599977,0.203256398,0.592656871,51.58612144,0.032185745,7.758999398,0.527208302,0.505337215,0.447574109,0.203178033,0.592545015,0.25,3,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.25/3
