method,dataset,dropout,run,prob,prob measure,total tes trading days skipped,total tes trading days profitable,total tes trading days averted loss by skipping,tes trading days averted loss by skipping percentage of total skipped,total tes trading days,total tes return,total tes return if without filtering,total tes log return,avg tes return,tes profit per trade,tes sharpe ratio,dropout tes acc,dropout tes mcc,tes acc,tes mcc,tes acc of y to log return,best benchmark tes total return,best benchmark tes total profit per trade,best benchmark tes avg sharpe ratio,best benchmark tes total log return,best benchmark tes acc
Adv-ALSTM,stocknet,0.05,1,0.0,std,0,1857,0,100.0,3720,15591.000595000005,15591.000595000005,-1.6244019997645562,4.191129192204302,4.191129192204302,0.013898637988199687,49.91935483870968,0.012773976610369994,49.91935483870968,0.012773976610369994,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,1.0,var,1497,1074,714,47.69539078156313,2223,-1460.768140999999,15591.000595000005,-2.811655698306187,-0.39267960779569866,-0.657115672964462,-0.0020857377834994756,49.91935483870968,0.012773976610369994,48.313090418353575,0.001545086419803759,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.9,var,979,1370,492,50.25536261491318,2741,3545.4036550000064,15591.000595000005,-2.1360227909032465,0.9530654986559157,1.2934708701203963,0.003840133087842914,49.91935483870968,0.012773976610369994,49.98175848230573,0.03639853827278788,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.8,var,812,1462,417,51.35467980295566,2908,14007.443826,15591.000595000005,-1.7068324302614308,3.7654418887096774,4.816865139614856,0.014047429119791871,49.91935483870968,0.012773976610369994,50.27510316368639,0.03552575986459056,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.7,var,664,1543,350,52.71084337349398,3056,13988.999989000004,15591.000595000005,-1.2407900851265699,3.7604838680107537,4.577552352421467,0.014028901477550629,49.91935483870968,0.012773976610369994,50.49083769633508,0.04353231522231553,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.6,var,512,1609,264,51.5625,3208,15693.361766000009,15591.000595000005,-1.4421624002583662,4.218645636021508,4.891945687655864,0.015108578689188872,49.91935483870968,0.012773976610369994,50.15586034912718,0.03440858269687173,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.5,var,397,1667,207,52.141057934508815,3323,15452.130429000008,15591.000595000005,-1.4973623360468489,4.153798502419357,4.650054297020767,0.014775183287070792,49.91935483870968,0.012773976610369994,50.1655130905808,0.032740883922823295,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.4,var,309,1715,167,54.0453074433657,3411,19718.685835000004,15591.000595000005,-1.3780274834334139,5.300721998655915,5.7809105350337155,0.01830580366651041,49.91935483870968,0.012773976610369994,50.27851070067428,0.03197990715436129,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.3,var,207,1766,116,56.038647342995176,3513,19754.92803200001,15591.000595000005,-1.2338102878991903,5.310464524731185,5.623378318246516,0.018339421953901237,49.91935483870968,0.012773976610369994,50.2704241389126,0.029171974149234264,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.2,var,122,1803,68,55.73770491803278,3598,20271.239782000004,15591.000595000005,-1.426105812827878,5.44925800591398,5.634029956086716,0.01857427855737578,49.91935483870968,0.012773976610369994,50.11117287381879,0.020468937372404947,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.1,var,50,1837,30,60.0,3670,21402.109549,15591.000595000005,-1.415980900486205,5.753255255107527,5.831637479291554,0.019571379153535323,49.91935483870968,0.012773976610369994,50.05449591280654,0.01785346754762218,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.0,var,0,1857,0,100.0,3720,15591.000595000005,15591.000595000005,-1.6244019997645562,4.191129192204302,4.191129192204302,0.013898637988199687,49.91935483870968,0.012773976610369994,49.91935483870968,0.012773976610369994,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
