method,dataset,dropout,run,prob,prob measure,total tes trading days skipped,total tes trading days profitable,total tes trading days averted loss by skipping,tes trading days averted loss by skipping percentage of total skipped,total tes trading days,total tes return,total tes return if without filtering,total tes log return,avg tes return,tes profit per trade,tes sharpe ratio,dropout tes acc,dropout tes mcc,tes acc,tes mcc,tes acc of y to log return,best benchmark tes total return,best benchmark tes total profit per trade,best benchmark tes avg sharpe ratio,best benchmark tes total log return,best benchmark tes acc
Adv-ALSTM,stocknet,0.05,4,,var,843,1582,415,49.228944246737846,2877,-15810.217681999995,-15813.256801,5.386801075490113,-4.250058516666665,-5.495383274939171,-0.014094140249484374,54.03225806451613,0.10666403512498143,54.98783454987834,0.1191162830158138,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,4,,entr,891,1559,440,49.382716049382715,2829,-15821.633278,-15813.256801,5.349075004940461,-4.253127225268817,-5.592659341816896,-0.014104320658519357,54.03225806451613,0.10666403512498143,55.107811947684695,0.12249423301701247,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,5,,std,655,1702,303,46.25954198473283,3065,19720.944481000002,19790.004453,5.619926213732802,5.30132916155914,6.434239634910278,0.017581348980980127,55.21505376344086,0.11128308612760435,55.53017944535073,0.11700543209643606,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,5,,var,638,1719,303,47.492163009404386,3082,19730.412005000002,19790.004453,5.964000223224857,5.303874194892473,6.401820897144712,0.0175897849433105,55.21505376344086,0.11128308612760435,55.77547047371837,0.12180754475899032,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,5,,entr,663,1704,313,47.20965309200603,3057,19722.361220000003,19790.004453,5.91826688881115,5.301710005376345,6.451541125286229,0.01758260343758477,55.21505376344086,0.11128308612760435,55.74092247301275,0.12047021062192353,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.1,1,,std,1471,1313,700,47.58667573079538,2249,19813.795975,10952.614317000003,6.051333162867051,5.326289240591398,8.810047120942642,0.02385104088109379,56.02150537634408,0.12136613487158963,58.38150289017341,0.17358559378830948,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.1,1,,var,1384,1356,656,47.398843930635834,2336,19774.531545,10952.614317000003,5.781886311599202,5.315734286290323,8.465124805222603,0.023803658126796714,56.02150537634408,0.12136613487158963,58.04794520547946,0.16467144637330336,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.1,1,,entr,1429,1331,676,47.30580825752274,2291,19781.267153000004,10952.614317000003,5.464209103022743,5.317544933602152,8.63433747402881,0.023811858945144367,56.02150537634408,0.12136613487158963,58.09690091663029,0.1663633357417095,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.1,2,,std,1030,1577,518,50.29126213592233,2690,18814.411871999997,18859.943659000004,8.006390957409973,5.0576376,6.994205156877323,0.016773941781507224,56.155913978494624,0.12800100532715464,58.62453531598513,0.1759255612139511,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.1,2,,var,921,1629,461,50.0542888165038,2799,18800.774168999997,18859.943659000004,7.880142862800888,5.053971550806451,6.716961117899248,0.016761779058435962,56.155913978494624,0.12800100532715464,58.19935691318327,0.16762634533633058,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.1,2,,entr,963,1611,485,50.36344755970924,2757,18797.498648,18859.943659000004,8.001674017353537,5.053091034408602,6.818098892999638,0.016758859478949218,56.155913978494624,0.12800100532715464,58.43307943416758,0.17177700403637558,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.1,3,,std,831,1638,415,49.939831528279186,2889,-5409.895407,-5443.215652999999,6.686208140053172,-1.4542729588709677,-1.8725840799584632,-0.00482253547534721,55.21505376344086,0.11507885563751072,56.69781931464174,0.1455689825458811,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
