method,dataset,dropout,prob,prob measure,run,ticker filename,total log return,avg log return,sharpe ratio,best benchmark log return,best benchmark sharpe ratio,total trading days skipped,total trading days successful,total trading days,total trading days correctly skipped,std log return before action
Adv-ALSTM,kdd17,0.5,0.4,var,4,T.csv,0.26063775698087616,0.002119006154316066,0.16228045223869764,-0.3209996174148017,-0.2012489974327714,1,76,123,1,0.01305767962243061
Adv-ALSTM,kdd17,0.5,0.4,var,4,MRK.csv,0.15346223793082692,0.0010096199863870192,0.06029386360365029,-0.0014040597999238624,-0.0005506353317841458,1,79,152,1,0.01674498740077249
Adv-ALSTM,kdd17,0.5,0.4,var,4,MA.csv,0.093330824527363,0.0006060443151127467,0.03589186417838852,-0.042099764710193,-0.01618178494564966,1,82,154,1,0.01688528386546338
Adv-ALSTM,kdd17,0.5,0.4,var,4,RDS-B.csv,0.301220143900891,0.0016370659994613642,0.07129975403625849,0.05013567913659847,0.011837892985429513,1,98,184,1,0.022960331653161907
Adv-ALSTM,kdd17,0.5,0.4,var,4,UNH.csv,0.3310887426333594,0.0023481471108748896,0.15059763214012184,0.282149045681964,0.12793771662207265,1,76,141,1,0.01558782934763008
Adv-ALSTM,kdd17,0.5,0.4,var,4,CHL.csv,-0.017961892031040844,-0.00010820416886169182,-0.006990887366571055,0.18795654019356292,0.07334984418114153,1,79,166,1,0.015477887596802272
Adv-ALSTM,kdd17,0.5,0.4,var,4,NTT.csv,0.07166151933971618,0.0004265566627364058,0.023999653598923355,0.2612628833550891,0.08781097314042746,1,85,168,1,0.017773450811620944
Adv-ALSTM,kdd17,0.5,0.4,var,4,NVS.csv,-0.11651595091142201,-0.0007872699385906893,-0.04991864248235727,-0.06348545835315439,-0.027174961018693364,1,66,148,1,0.01577106065872953
Adv-ALSTM,kdd17,0.5,0.4,var,4,DOW.csv,0.17565077792722056,0.0011187947638676469,0.06988717936976421,-0.3200473370738232,-0.12807139878112847,1,83,157,1,0.01600903980518372
Adv-ALSTM,kdd17,0.5,0.4,var,4,UPS.csv,0.2241325993144934,0.0020011839224508337,0.157679934293464,0.11225798563332423,0.07824300352893628,1,64,112,1,0.012691430469056105
Adv-ALSTM,kdd17,0.5,0.4,var,4,JNJ.csv,0.16371327767055618,0.0015300306324351044,0.12042391241087495,-0.10520450271121153,-0.07705574948520134,1,55,107,1,0.012705372228854227
Adv-ALSTM,kdd17,0.5,0.3,var,4,DIS.csv,0.027651664035419368,0.00021270510796476437,0.014185928823396959,-0.1599125567802774,-0.08230999275387463,1,67,130,1,0.0149940910188375
