method,dataset,dropout,total val trading days skipped,total val trading days successful,total val trading days successfuly skipped,ratio of val trading days successfully skipped over total,total val trading days,total val log return,avg val log return,val sharpe ratio,val acc,val mcc,total tes trading days skipped,total tes trading days successful,total tes trading days successfuly skipped,ratio of tes trading days successfully skipped over total,total tes trading days,total tes log return,avg tes log return,tes sharpe ratio,tes acc,tes mcc,run,prob,prob measure,val acc filtered,val mcc filtered,tes acc filtered,tes mcc filtered,val gt acc,tes gt acc
Adv-ALSTM,stocknet,0.5,87,1286,87,1.0,2555,2.2379704789660075,0.0008759179956814119,0.0381143517354,51.97651663405088,0.05099313521856975,87,1993,87,1.0,3720,7.717451778754722,0.0020745838114932047,0.10604589514023316,57.33870967741935,0.1450124158065286,5,0.5,var,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,87,1286,87,1.0,2555,2.2379704789660075,0.0008759179956814119,0.0381143517354,51.97651663405088,0.05099313521856975,87,1993,87,1.0,3720,7.717451778754722,0.0020745838114932047,0.10604589514023316,57.33870967741935,0.1450124158065286,5,0.4,var,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,87,1286,87,1.0,2555,2.2379704789660075,0.0008759179956814119,0.0381143517354,51.97651663405088,0.05099313521856975,87,1993,87,1.0,3720,7.717451778754722,0.0020745838114932047,0.10604589514023316,57.33870967741935,0.1450124158065286,5,0.3,var,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,406,1170,290,0.7142857142857143,2555,4.88856107763416,0.0019133311458450722,0.09192810712099525,51.97651663405088,0.05099313521856975,598,1702,307,0.5133779264214047,3720,5.867037556373067,0.00157716063343362,0.08725080580183261,57.33870967741935,0.1450124158065286,5,0.2,var,59.37377690802348,0.15797431347855548,63.655913978494624,0.27219315673387007,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,671,1044,429,0.639344262295082,2555,5.480809599071799,0.0021451309585408217,0.11136458282831171,51.97651663405088,0.05099313521856975,1150,1386,543,0.4721739130434783,3720,4.088358717076193,0.0010990211605043528,0.06766754714784648,57.33870967741935,0.1450124158065286,5,0.1,var,64.93150684931507,0.19582994241784246,70.10752688172043,0.3385520338019597,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,2555,0,1269,0.49667318982387476,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1727,0.464247311827957,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.0,var,100.0,0.0,100.0,0.0,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,87,1286,87,1.0,2555,2.2379704789660075,0.0008759179956814119,0.0381143517354,51.97651663405088,0.05099313521856975,87,1993,87,1.0,3720,7.717451778754722,0.0020745838114932047,0.10604589514023316,57.33870967741935,0.1450124158065286,5,1.0,entr,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,87,1286,87,1.0,2555,2.2379704789660075,0.0008759179956814119,0.0381143517354,51.97651663405088,0.05099313521856975,87,1993,87,1.0,3720,7.717451778754722,0.0020745838114932047,0.10604589514023316,57.33870967741935,0.1450124158065286,5,0.9,entr,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,87,1286,87,1.0,2555,2.2379704789660075,0.0008759179956814119,0.0381143517354,51.97651663405088,0.05099313521856975,87,1993,87,1.0,3720,7.717451778754722,0.0020745838114932047,0.10604589514023316,57.33870967741935,0.1450124158065286,5,0.8,entr,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,50.04051863857374,50.92210294522433
Adv-ALSTM,stocknet,0.5,87,1286,87,1.0,2555,2.2379704789660075,0.0008759179956814119,0.0381143517354,51.97651663405088,0.05099313521856975,87,1993,87,1.0,3720,7.717451778754722,0.0020745838114932047,0.10604589514023316,57.33870967741935,0.1450124158065286,5,0.7,entr,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,50.04051863857374,50.92210294522433
