method,dataset,dropout,avg total val predicted return,avg total tes predicted return,avg val predicted return,avg tes predicted return,avg val sharpe ratio,avg tes sharpe ratio,prob,prob measure
Adv-ALSTM,kdd17,0.5,-0.17864944293424867,8.148185956236492,-2.2137477439188186e-05,0.0011014038870284526,-0.0011296741799367554,0.05529396055773216,0.9,std
Adv-ALSTM,kdd17,0.5,-0.17864944293424867,8.148185956236492,-2.2137477439188186e-05,0.0011014038870284526,-0.0011296741799367554,0.05529396055773216,0.8,std
Adv-ALSTM,kdd17,0.5,-0.17864944293424867,8.148185956236492,-2.2137477439188186e-05,0.0011014038870284526,-0.0011296741799367554,0.05529396055773216,0.7,std
Adv-ALSTM,kdd17,0.5,-0.17864944293424867,8.148185956236492,-2.2137477439188186e-05,0.0011014038870284526,-0.0011296741799367554,0.05529396055773216,0.6,std
Adv-ALSTM,kdd17,0.5,-0.0104455687413616,8.088000846114436,-1.2943703520894175e-06,0.0010932685653033843,-6.619770672767747e-05,0.05497300363542829,0.5,std
Adv-ALSTM,kdd17,0.5,1.8483538220729474,4.364826581928945,0.00022904012665092284,0.0005900008896903143,0.01777112233871829,0.04359799090591241,0.4,std
Adv-ALSTM,kdd17,0.5,1.6557030051295993,2.66816701160394,0.00020516765862820313,0.00036066058551012975,0.020554808218703646,0.03441206796668312,0.3,std
Adv-ALSTM,kdd17,0.5,0.5924675888334392,2.906407690539647,7.341605809584129e-05,0.00039286397547170143,0.01009738867464397,0.051056339542962424,0.2,std
Adv-ALSTM,kdd17,0.5,0.2758931716200185,1.18484009862886,3.418750577695396e-05,0.00016015681246672885,0.0075310241424724755,0.03100201803467245,0.1,std
Adv-ALSTM,kdd17,0.5,0.0,0.0,0.0,0.0,,,0.0,std
Adv-ALSTM,kdd17,0.5,-0.17864944293424867,8.148185956236492,-2.2137477439188186e-05,0.0011014038870284526,-0.0011296741799367554,0.05529396055773216,1.0,var
Adv-ALSTM,kdd17,0.5,-0.17864944293424867,8.148185956236492,-2.2137477439188186e-05,0.0011014038870284526,-0.0011296741799367554,0.05529396055773216,0.9,var
Adv-ALSTM,kdd17,0.5,-0.17864944293424867,8.148185956236492,-2.2137477439188186e-05,0.0011014038870284526,-0.0011296741799367554,0.05529396055773216,0.8,var
Adv-ALSTM,kdd17,0.5,-0.17864944293424867,8.148185956236492,-2.2137477439188186e-05,0.0011014038870284526,-0.0011296741799367554,0.05529396055773216,0.7,var
Adv-ALSTM,kdd17,0.5,-0.17864944293424867,8.148185956236492,-2.2137477439188186e-05,0.0011014038870284526,-0.0011296741799367554,0.05529396055773216,0.6,var
Adv-ALSTM,kdd17,0.5,-0.17864944293424867,8.148185956236492,-2.2137477439188186e-05,0.0011014038870284526,-0.0011296741799367554,0.05529396055773216,0.5,var
Adv-ALSTM,kdd17,0.5,-0.17864944293424867,8.148185956236492,-2.2137477439188186e-05,0.0011014038870284526,-0.0011296741799367554,0.05529396055773216,0.4,var
Adv-ALSTM,kdd17,0.5,-0.17864944293424867,8.148185956236492,-2.2137477439188186e-05,0.0011014038870284526,-0.0011296741799367554,0.05529396055773216,0.3,var
Adv-ALSTM,kdd17,0.5,0.9839788997597392,5.665347407489202,0.00012193047085002964,0.0007657944589739391,0.008271607400944342,0.0498999574920711,0.2,var
Adv-ALSTM,kdd17,0.5,1.932280180212892,2.6818855070545453,0.00023943992319862354,0.0003625149374228907,0.02297611980534169,0.03222076011561472,0.1,var
Adv-ALSTM,kdd17,0.5,0.0,0.0,0.0,0.0,,,0.0,var
Adv-ALSTM,kdd17,0.5,-0.17864944293424867,8.148185956236492,-2.2137477439188186e-05,0.0011014038870284526,-0.0011296741799367554,0.05529396055773216,1.0,entr
Adv-ALSTM,kdd17,0.5,-0.17864944293424867,8.148185956236492,-2.2137477439188186e-05,0.0011014038870284526,-0.0011296741799367554,0.05529396055773216,0.9,entr
Adv-ALSTM,kdd17,0.5,-0.17864944293424867,8.148185956236492,-2.2137477439188186e-05,0.0011014038870284526,-0.0011296741799367554,0.05529396055773216,0.8,entr
Adv-ALSTM,kdd17,0.5,-0.17864944293424867,8.148185956236492,-2.2137477439188186e-05,0.0011014038870284526,-0.0011296741799367554,0.05529396055773216,0.7,entr
Adv-ALSTM,kdd17,0.5,1.0092123539111932,5.670142265733917,0.00012505729292579842,0.000766442587960789,0.008377300886438578,0.04924876171259564,0.6,entr
Adv-ALSTM,kdd17,0.5,1.8483538220729474,4.364826581928945,0.00022904012665092284,0.0005900008896903143,0.01777112233871829,0.04359799090591241,0.5,entr
Adv-ALSTM,kdd17,0.5,2.2215122962077323,3.4505011375185832,0.00027528033410256905,0.000466409994257716,0.024802889765032296,0.03877672453847734,0.4,entr
Adv-ALSTM,kdd17,0.5,0.7737173795099768,2.9678416345109517,9.587575954274805e-05,0.0004011681041512506,0.010153973659510328,0.04017466128765801,0.3,entr
Adv-ALSTM,kdd17,0.5,0.5912740455910965,2.5919242267244504,7.32681593049686e-05,0.0003503547211036024,0.009346654968676642,0.042653636007112,0.2,entr
Adv-ALSTM,kdd17,0.5,0.364438680406327,1.8395228850226153,4.5159687782692316e-05,0.0002486513767264957,0.0077354857765297574,0.039419047310098515,0.1,entr
Adv-ALSTM,kdd17,0.5,0.0,0.0,0.0,0.0,,,0.0,entr
Adv-ALSTM,kdd17,0.5,-0.05860405869145724,8.037461415684204,-7.261965141444514e-06,0.0010864370661914306,-0.0003705777660608792,0.05454037427482447,1.0,std
Adv-ALSTM,kdd17,0.5,-0.05860405869145724,8.037461415684204,-7.261965141444514e-06,0.0010864370661914306,-0.0003705777660608792,0.05454037427482447,0.9,std
Adv-ALSTM,kdd17,0.5,-0.05860405869145724,8.037461415684204,-7.261965141444514e-06,0.0010864370661914306,-0.0003705777660608792,0.05454037427482447,0.8,std
Adv-ALSTM,kdd17,0.5,-0.05860405869145724,8.037461415684204,-7.261965141444514e-06,0.0010864370661914306,-0.0003705777660608792,0.05454037427482447,0.7,std
Adv-ALSTM,kdd17,0.5,-0.05860405869145724,8.037461415684204,-7.261965141444514e-06,0.0010864370661914306,-0.0003705777660608792,0.05454037427482447,0.6,std
Adv-ALSTM,kdd17,0.5,0.13892525495015184,8.026058389637978,1.7215025396549176e-05,0.0010848957001403053,0.0008802676565675561,0.05453393143821493,0.5,std
Adv-ALSTM,kdd17,0.5,1.4369467835710092,4.2078405082384895,0.00017806032014510646,0.0005687808202539186,0.013862632182113258,0.042397047470496656,0.4,std
