method,dataset,dropout,prob,prob measure,run,ticker filename,total log return,avg log return,sharpe ratio,best benchmark log return,best benchmark sharpe ratio,total trading days skipped,total trading days successful,total trading days,total trading days correctly skipped,std log return before action
Adv-ALSTM,stocknet,0.5,1.0,std,5,BP.csv,0.0,0.0,,0.3870896267830812,0.4046541976779689,45,0,45,20,0.022961836266112156
Adv-ALSTM,stocknet,0.5,1.0,std,5,CHL.csv,0.0,0.0,,0.18303859819795634,0.2957084560848776,43,0,43,15,0.014954256800369617
Adv-ALSTM,stocknet,0.5,1.0,std,5,SNP.csv,0.0,0.0,,0.2110632119529182,0.18746844420212816,44,0,44,12,0.026025472374230016
Adv-ALSTM,stocknet,0.5,1.0,std,5,T.csv,0.0,0.0,,0.08049815079812342,0.1896790828861871,35,0,35,13,0.012278315063132948
Adv-ALSTM,stocknet,0.5,1.0,std,5,CELG.csv,0.0,0.0,,0.3764269652333152,0.2675137965598761,51,0,51,20,0.02851579736810363
Adv-ALSTM,stocknet,0.5,1.0,std,5,CODI.csv,0.0,0.0,,0.11605336382524628,0.21326981859280045,42,0,42,22,0.01325139537981
Adv-ALSTM,stocknet,0.5,1.0,std,5,MCD.csv,0.0,0.0,,-0.11859907963163616,-0.22161112385869144,30,0,30,15,0.017257442172672152
Adv-ALSTM,stocknet,0.5,1.0,std,5,V.csv,0.0,0.0,,0.0948341289926978,0.13176539693001696,46,0,46,17,0.015564786100176033
Adv-ALSTM,stocknet,0.5,1.0,std,5,RDS-B.csv,0.0,0.0,,0.10693969997096288,0.0920213254307394,51,0,51,21,0.022884727764874952
Adv-ALSTM,stocknet,0.5,1.0,std,5,PPL.csv,0.0,0.0,,0.16510683999920633,0.24495463088783997,46,0,46,15,0.015057471456451714
Adv-ALSTM,stocknet,0.5,1.0,std,5,DIS.csv,0.0,0.0,,0.0029487811933648113,0.004370777305615847,42,0,42,23,0.016063006391034026
Adv-ALSTM,stocknet,0.5,1.0,std,5,WFC.csv,0.0,0.0,,0.16755278589877096,0.28248593070763633,42,0,42,17,0.014617963288119517
Adv-ALSTM,stocknet,0.5,1.0,std,5,MO.csv,0.0,0.0,,0.03820678302562412,0.06527645177122618,39,0,39,18,0.014900812072290838
Adv-ALSTM,stocknet,0.5,1.0,std,5,BCH.csv,0.0,0.0,,0.1550445098584845,0.2610647331537441,43,0,43,16,0.014245862241060213
Adv-ALSTM,stocknet,0.5,1.0,std,5,NVS.csv,0.0,0.0,,-0.07007854971715749,-0.12190105823349033,47,0,47,23,0.012242951319884994
Adv-ALSTM,stocknet,0.5,1.0,std,5,PM.csv,0.0,0.0,,0.003301327086854147,0.006367798581429726,37,0,37,17,0.013658391934913684
Adv-ALSTM,stocknet,0.5,1.0,std,5,PTR.csv,0.0,0.0,,0.3873822734301762,0.3101578253031063,55,0,55,17,0.02376864891444589
Adv-ALSTM,stocknet,0.5,1.0,std,5,MDT.csv,0.0,0.0,,0.15780393141907662,0.2892966836414626,37,0,37,8,0.014808858703250646
Adv-ALSTM,stocknet,0.5,1.0,std,5,NGG.csv,0.0,0.0,,0.09837146971898153,0.20884003577264526,30,0,30,14,0.016048579149502747
Adv-ALSTM,stocknet,0.5,1.0,std,5,BRK-A.csv,0.0,0.0,,0.12865815056495794,0.22507436923892493,40,0,40,20,0.014652391249440549
Adv-ALSTM,stocknet,0.5,1.0,std,5,D.csv,0.0,0.0,,0.1297521575522111,0.2891500512722179,33,0,33,17,0.014095757052942382
Adv-ALSTM,stocknet,0.5,1.0,std,5,PCLN.csv,0.0,0.0,,0.16484203457895338,0.1738056311400615,44,0,44,20,0.02188172997294946
