method,dataset,dropout,total val trading days skipped,total val trading days successful,total val trading days successfuly skipped,ratio of val trading days successfully skipped over total,total val trading days,total val log return,avg val log return,val sharpe ratio,val acc,val mcc,total tes trading days skipped,total tes trading days successful,total tes trading days successfuly skipped,ratio of tes trading days successfully skipped over total,total tes trading days,total tes log return,avg tes log return,tes sharpe ratio,tes acc,tes mcc,run,prob,prob measure,val acc filtered,val mcc filtered,tes acc filtered,tes mcc filtered,val gt acc,tes gt acc
Adv-ALSTM,stocknet,0.5,1388,539,599,0.4315561959654179,2555,-2.6041464352451427,-0.001019235395399273,-0.060320544004838654,51.97651663405088,0.05099313521856975,1711,1120,698,0.40794856808883695,3720,5.6461443122156805,0.0015177807290902368,0.10598900173200777,57.33870967741935,0.1450124158065286,5,0.0,std,75.42074363992171,0.5639082180102734,76.1021505376344,0.6056997211803931,100.0,100.0
Adv-ALSTM,stocknet,0.5,2555,0,1227,0.4802348336594912,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1587,0.4266129032258065,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,1.0,var,100.0,0.0,100.0,0.0,100.0,100.0
Adv-ALSTM,stocknet,0.5,2555,0,1227,0.4802348336594912,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1587,0.4266129032258065,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.9,var,100.0,0.0,100.0,0.0,100.0,100.0
Adv-ALSTM,stocknet,0.5,2555,0,1227,0.4802348336594912,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1587,0.4266129032258065,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.8,var,100.0,0.0,100.0,0.0,100.0,100.0
Adv-ALSTM,stocknet,0.5,2555,0,1227,0.4802348336594912,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1587,0.4266129032258065,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.7,var,100.0,0.0,100.0,0.0,100.0,100.0
Adv-ALSTM,stocknet,0.5,2555,0,1227,0.4802348336594912,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1587,0.4266129032258065,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.6,var,100.0,0.0,100.0,0.0,100.0,100.0
Adv-ALSTM,stocknet,0.5,2555,0,1227,0.4802348336594912,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1587,0.4266129032258065,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.5,var,100.0,0.0,100.0,0.0,100.0,100.0
Adv-ALSTM,stocknet,0.5,2555,0,1227,0.4802348336594912,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1587,0.4266129032258065,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.4,var,100.0,0.0,100.0,0.0,100.0,100.0
Adv-ALSTM,stocknet,0.5,2555,0,1227,0.4802348336594912,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1587,0.4266129032258065,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.3,var,100.0,0.0,100.0,0.0,100.0,100.0
Adv-ALSTM,stocknet,0.5,2222,144,1038,0.4671467146714671,2555,-0.8827311441781419,-0.0003454916415570027,-0.03422958471020198,51.97651663405088,0.05099313521856975,3202,283,1352,0.42223610243597753,3720,1.2541081228131985,0.0003371258394659136,0.0465170302095189,57.33870967741935,0.1450124158065286,5,0.2,var,92.6027397260274,0.6312952933070745,93.68279569892472,0.7134264976681073,100.0,100.0
Adv-ALSTM,stocknet,0.5,1936,288,896,0.4628099173553719,2555,-1.0611442562322067,-0.0004153206482317834,-0.03150602546450474,51.97651663405088,0.05099313521856975,2645,600,1112,0.4204158790170132,3720,2.803467348735864,0.0007536202550365226,0.07044933139241853,57.33870967741935,0.1450124158065286,5,0.1,var,87.04500978473581,0.6303443084033079,87.23118279569893,0.6878708952377661,100.0,100.0
Adv-ALSTM,stocknet,0.5,1388,539,599,0.4315561959654179,2555,-2.6041464352451427,-0.001019235395399273,-0.060320544004838654,51.97651663405088,0.05099313521856975,1711,1120,698,0.40794856808883695,3720,5.6461443122156805,0.0015177807290902368,0.10598900173200777,57.33870967741935,0.1450124158065286,5,0.0,var,75.42074363992171,0.5639082180102734,76.1021505376344,0.6056997211803931,100.0,100.0
Adv-ALSTM,stocknet,0.5,2555,0,1227,0.4802348336594912,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1587,0.4266129032258065,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,1.0,entr,100.0,0.0,100.0,0.0,100.0,100.0
Adv-ALSTM,stocknet,0.5,2555,0,1227,0.4802348336594912,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1587,0.4266129032258065,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.9,entr,100.0,0.0,100.0,0.0,100.0,100.0
Adv-ALSTM,stocknet,0.5,2555,0,1227,0.4802348336594912,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1587,0.4266129032258065,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.8,entr,100.0,0.0,100.0,0.0,100.0,100.0
Adv-ALSTM,stocknet,0.5,2555,0,1227,0.4802348336594912,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1587,0.4266129032258065,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.7,entr,100.0,0.0,100.0,0.0,100.0,100.0
Adv-ALSTM,stocknet,0.5,2233,139,1044,0.4675324675324675,2555,-0.8406829742926539,-0.00032903443220847514,-0.03293783503848521,51.97651663405088,0.05099313521856975,3229,268,1364,0.42242180241560856,3720,1.1769470634043402,0.0003163836191947151,0.04460493706475302,57.33870967741935,0.1450124158065286,5,0.6,entr,92.8375733855186,0.6316483424843303,94.00537634408602,0.7145379175546782,100.0,100.0
Adv-ALSTM,stocknet,0.5,2098,214,984,0.4690181124880839,2555,-0.5759786963992539,-0.0002254319751073401,-0.019338872771102748,51.97651663405088,0.05099313521856975,2983,405,1255,0.42071739859202145,3720,2.0711464741762207,0.0005567598048860808,0.06430939414961064,57.33870967741935,0.1450124158065286,5,0.5,entr,90.48923679060665,0.647814734405384,91.0752688172043,0.7031996209873718,100.0,100.0
Adv-ALSTM,stocknet,0.5,1980,269,921,0.46515151515151515,2555,-0.878684672626109,-0.0003439078953526846,-0.026753454600576577,51.97651663405088,0.05099313521856975,2763,529,1159,0.41947158885269636,3720,2.378037457669493,0.0006392573810939498,0.06357080159374609,57.33870967741935,0.1450124158065286,5,0.4,entr,88.02348336594912,0.6365561227133995,88.49462365591397,0.6918292305541144,100.0,100.0
Adv-ALSTM,stocknet,0.5,1847,324,843,0.45641580942068216,2555,-1.4843867573038105,-0.0005809732905298671,-0.0417150042137758,51.97651663405088,0.05099313521856975,2524,667,1058,0.419175911251981,3720,3.1718293565412083,0.0008526423001454861,0.07642485536884712,57.33870967741935,0.1450124158065286,5,0.3,entr,84.9706457925636,0.6155162723672696,85.77956989247312,0.6790137991782005,100.0,100.0
Adv-ALSTM,stocknet,0.5,1734,373,779,0.44925028835063435,2555,-2.029065574837205,-0.0007941548238110392,-0.05399220177009701,51.97651663405088,0.05099313521856975,2322,776,965,0.41559000861326445,3720,3.681901229104286,0.000989758394920507,0.08122399640678471,57.33870967741935,0.1450124158065286,5,0.2,entr,82.46575342465754,0.6008692937199804,83.27956989247312,0.6616670070467614,100.0,100.0
