method,dataset,dropout,total val trading days skipped,total val trading days successful,total val trading days successfuly skipped,ratio of val trading days successfully skipped over total,total val trading days,total val log return,avg val log return,val sharpe ratio,val acc,val mcc,total tes trading days skipped,total tes trading days successful,total tes trading days successfuly skipped,ratio of tes trading days successfully skipped over total,total tes trading days,total tes log return,avg tes log return,tes sharpe ratio,tes acc,tes mcc,run,prob,prob measure,val acc filtered,val mcc filtered,tes acc filtered,tes mcc filtered,val gt acc,tes gt acc
Adv-ALSTM,stocknet,0.5,2555,0,1278,0.5001956947162427,2555,0.0,0.0,,51.97651663405088,0.05099313521856975,3720,0,1652,0.44408602150537635,3720,0.0,0.0,,57.33870967741935,0.1450124158065286,5,0.0,std,100.0,0.0,100.0,0.0,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,87,1277,87,1.0,2555,1.6769515971549491,0.0006563411339158314,0.028550674269343934,51.97651663405088,0.05099313521856975,87,2068,87,1.0,3720,9.93260870507758,0.002670056103515479,0.13699120541431942,57.33870967741935,0.1450124158065286,5,1.0,var,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,87,1277,87,1.0,2555,1.6769515971549491,0.0006563411339158314,0.028550674269343934,51.97651663405088,0.05099313521856975,87,2068,87,1.0,3720,9.93260870507758,0.002670056103515479,0.13699120541431942,57.33870967741935,0.1450124158065286,5,0.9,var,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,87,1277,87,1.0,2555,1.6769515971549491,0.0006563411339158314,0.028550674269343934,51.97651663405088,0.05099313521856975,87,2068,87,1.0,3720,9.93260870507758,0.002670056103515479,0.13699120541431942,57.33870967741935,0.1450124158065286,5,0.8,var,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,87,1277,87,1.0,2555,1.6769515971549491,0.0006563411339158314,0.028550674269343934,51.97651663405088,0.05099313521856975,87,2068,87,1.0,3720,9.93260870507758,0.002670056103515479,0.13699120541431942,57.33870967741935,0.1450124158065286,5,0.7,var,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,87,1277,87,1.0,2555,1.6769515971549491,0.0006563411339158314,0.028550674269343934,51.97651663405088,0.05099313521856975,87,2068,87,1.0,3720,9.93260870507758,0.002670056103515479,0.13699120541431942,57.33870967741935,0.1450124158065286,5,0.6,var,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,87,1277,87,1.0,2555,1.6769515971549491,0.0006563411339158314,0.028550674269343934,51.97651663405088,0.05099313521856975,87,2068,87,1.0,3720,9.93260870507758,0.002670056103515479,0.13699120541431942,57.33870967741935,0.1450124158065286,5,0.5,var,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,87,1277,87,1.0,2555,1.6769515971549491,0.0006563411339158314,0.028550674269343934,51.97651663405088,0.05099313521856975,87,2068,87,1.0,3720,9.93260870507758,0.002670056103515479,0.13699120541431942,57.33870967741935,0.1450124158065286,5,0.4,var,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,87,1277,87,1.0,2555,1.6769515971549491,0.0006563411339158314,0.028550674269343934,51.97651663405088,0.05099313521856975,87,2068,87,1.0,3720,9.93260870507758,0.002670056103515479,0.13699120541431942,57.33870967741935,0.1450124158065286,5,0.3,var,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,405,1140,268,0.6617283950617284,2555,2.567262572678931,0.0010047994413616168,0.048641157589952265,51.97651663405088,0.05099313521856975,582,1804,318,0.5463917525773195,3720,9.011359619630685,0.002422408499900722,0.13328863186013307,57.33870967741935,0.1450124158065286,5,0.2,var,59.37377690802348,0.15797431347855548,63.655913978494624,0.27219315673387007,99.67585089141005,99.50454170107349
