method,dataset,dropout,prob,prob measure,run,ticker filename,total log return,avg log return,sharpe ratio,best benchmark log return,best benchmark sharpe ratio,total trading days skipped,total trading days successful,total trading days,total trading days correctly skipped,std log return before action
Adv-ALSTM,stocknet,0.5,1.0,entr,5,PCLN.csv,-0.013898922929036057,-0.00031588461202354675,-0.01428382310986793,0.16781130805518352,0.17512534668815194,1,23,44,1,0.022111321071300163
Adv-ALSTM,stocknet,0.5,1.0,entr,5,PPL.csv,0.09691318755097189,0.002106808425021128,0.14660302872466607,-0.008252047367421456,-0.012349135026315796,1,25,46,1,0.014473365411990952
Adv-ALSTM,stocknet,0.5,1.0,entr,5,XOM.csv,0.1377984796126719,0.002995619122014606,0.1615513073488308,0.06047238775896975,0.07014477133511969,1,21,46,1,0.01877032919343125
Adv-ALSTM,stocknet,0.5,1.0,entr,5,ABBV.csv,0.07902719914719822,0.0014368581663126948,0.05021559614114645,0.4109502994039971,0.2703229733405789,1,29,55,1,0.028611839840506446
Adv-ALSTM,stocknet,0.5,1.0,entr,5,BRK-A.csv,0.11521196834553782,0.0028802992086384453,0.20277045026286036,0.11258677816859447,0.19796221409009868,1,16,40,1,0.014500817441758362
Adv-ALSTM,stocknet,0.5,1.0,entr,5,CAT.csv,0.18149023569968692,0.003629804713993738,0.1849149200797306,0.25005644069808186,0.2588641227597992,1,25,50,1,0.019925783843566868
Adv-ALSTM,stocknet,0.5,1.0,entr,5,LMT.csv,0.03837377672865416,0.0009359457738696138,0.07042795937032656,0.11226594619010967,0.21012048730892166,1,21,41,1,0.013222685705894665
Adv-ALSTM,stocknet,0.5,1.0,entr,5,CHL.csv,0.18442719519208248,0.004289004539350755,0.30010440536246846,-0.18804421292865306,-0.30655041200383737,1,18,43,1,0.014812656027913323
Adv-ALSTM,stocknet,0.5,1.0,entr,5,HD.csv,0.027462977722267884,0.0007422426411423752,0.04851837172438972,-0.06275298492971787,-0.11143512368021596,1,23,37,1,0.014918192557341448
Adv-ALSTM,stocknet,0.5,1.0,entr,5,DUK.csv,0.14788820585866502,0.0038917948910175007,0.23586617766898804,0.06585944424378062,0.10271285883290243,1,21,38,1,0.016954368073658035
Adv-ALSTM,stocknet,0.5,1.0,entr,5,CVX.csv,0.07632413780941671,0.0013390199615687143,0.06290666229440545,0.09667668687535824,0.07977848790603091,1,29,57,1,0.0211585338558357
Adv-ALSTM,stocknet,0.5,1.0,entr,5,TSM.csv,0.16233455161651764,0.0038651083718218484,0.24969772803310022,-0.06358129589969297,-0.09525722017713424,1,21,42,1,0.015897618285061144
Adv-ALSTM,stocknet,0.5,1.0,entr,5,GD.csv,-0.007399549390627038,-0.00017208254396807064,-0.012523063204558642,0.06419150867169793,0.10929176150423164,1,20,43,1,0.013741100286947442
Adv-ALSTM,stocknet,0.5,1.0,entr,5,UL.csv,0.048574218870714364,0.0013128167262355234,0.0887149294444439,-0.027494520095635,-0.050077953142686295,1,19,37,1,0.014810913565583174
Adv-ALSTM,stocknet,0.5,0.9,entr,5,INTC.csv,0.11570973572263293,0.002690924086572859,0.17499845741880413,0.022910476278809388,0.03413921986535034,1,25,43,1,0.015320624044276537
Adv-ALSTM,stocknet,0.5,0.9,entr,5,NEE.csv,0.1698346077030223,0.004469331781658482,0.2901478598964785,0.12601123015882065,0.21121425753417386,1,20,38,1,0.0159098877165779
