method,dataset,dropout,avg total val predicted return,avg total tes predicted return,avg val predicted return,avg tes predicted return,avg val sharpe ratio,avg tes sharpe ratio,prob,prob measure
Adv-ALSTM,kdd17,0.5,0.8644072425348979,8.43430008971914,0.00010711366078499354,0.0011400784116949363,0.005466082027839499,0.05724179851941221,0.7,var
Adv-ALSTM,kdd17,0.5,0.8644072425348979,8.43430008971914,0.00010711366078499354,0.0011400784116949363,0.005466082027839499,0.05724179851941221,0.6,var
Adv-ALSTM,kdd17,0.5,0.8644072425348979,8.43430008971914,0.00010711366078499354,0.0011400784116949363,0.005466082027839499,0.05724179851941221,0.5,var
Adv-ALSTM,kdd17,0.5,0.8644072425348979,8.43430008971914,0.00010711366078499354,0.0011400784116949363,0.005466082027839499,0.05724179851941221,0.4,var
Adv-ALSTM,kdd17,0.5,0.8644072425348979,8.43430008971914,0.00010711366078499354,0.0011400784116949363,0.005466082027839499,0.05724179851941221,0.3,var
Adv-ALSTM,kdd17,0.5,-2.5894779185837544,5.858203967923979,-0.00032087706549984563,0.0007918632019361961,-0.021722633300029142,0.051694817518573924,0.2,var
Adv-ALSTM,kdd17,0.5,-2.1373062553622093,3.741243994447082,-0.00026484588046619696,0.0005057101911931714,-0.025456125204364924,0.04555162169014498,0.1,var
Adv-ALSTM,kdd17,0.5,0.0,0.0,0.0,0.0,,,0.0,var
Adv-ALSTM,kdd17,0.5,0.8644072425348979,8.43430008971914,0.00010711366078499354,0.0011400784116949363,0.005466082027839499,0.05724179851941221,1.0,entr
Adv-ALSTM,kdd17,0.5,0.8644072425348979,8.43430008971914,0.00010711366078499354,0.0011400784116949363,0.005466082027839499,0.05724179851941221,0.9,entr
Adv-ALSTM,kdd17,0.5,0.8644072425348979,8.43430008971914,0.00010711366078499354,0.0011400784116949363,0.005466082027839499,0.05724179851941221,0.8,entr
Adv-ALSTM,kdd17,0.5,0.8644072425348979,8.43430008971914,0.00010711366078499354,0.0011400784116949363,0.005466082027839499,0.05724179851941221,0.7,entr
