method,dataset,test acc,test mcc,test ll,test rs,test ps,test avg prob,valid acc,valid mcc,valid ll,valid rs,valid ps,valid avg prob,prob measure,dropout,run,prob confidence threshold,iterations,run save path,total test predictions,filtered test predictions,filtered test predictions sucessfully,filtered test predictions sucessful ratio,test success score,test failure score,test score,total valid predictions,filtered valid predictions,filtered valid predictions sucessfully,filtered valid predictions sucessful ratio,valid success score,valid failure score,valid score
Adv-ALSTM,kdd17,57.9066265060241,0.11741256606178659,6.7374146890389,0.7320954907161804,0.6072607260726073,0.4977545550535981,53.60524399126001,0.06705736185719659,7.419466188157125,0.7446808510638298,0.5346232179226069,0.5000078986540246,entr,0.5,4,0.7,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/4,1328,6070,2959,0.4874794069192751,3728,3670,0.5039199783725331,1373,6697,3251,0.48544124234731967,3987,4083,0.49405204460966545
Adv-ALSTM,kdd17,57.09376534118802,0.10929036299683906,6.8698640875683,0.7006980802792321,0.6019490254872564,0.4977545550535981,52.73972602739726,0.057474990866814554,7.559206813818794,0.7190909090909091,0.5214238628872775,0.5000078986540246,entr,0.5,4,0.6,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/4,2037,5361,2644,0.4931915687371759,3807,3591,0.5145985401459854,2190,5880,2853,0.48520408163265305,4008,4062,0.4966542750929368
Adv-ALSTM,kdd17,56.026170798898065,0.09934720452026083,7.042606009391064,0.667501565435191,0.5883002207505519,0.4977545550535981,52.80345040049291,0.06012962692606616,7.550617589454046,0.6995681677976557,0.5204222120238642,0.5000078986540246,entr,0.5,4,0.5,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/4,2904,4494,2241,0.4986648865153538,3868,3530,0.5228440118951068,3246,4824,2356,0.48839137645107794,4070,4000,0.5043370508054523
Adv-ALSTM,kdd17,54.23887587822014,0.07223034458045931,7.33100931035831,0.6237494562853415,0.5683709869203329,0.4977545550535981,52.66058935764257,0.055633482416115,7.575341422703911,0.6779661016949152,0.5206638464041653,0.5000078986540246,entr,0.5,4,0.4,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/4,4270,3128,1564,0.5,3880,3518,0.5244660719113274,4717,3353,1655,0.4935878317924247,4139,3931,0.5128872366790582
Adv-ALSTM,kdd17,52.44660719113274,0.042900911523238806,7.620524224283638,0.5759590792838875,0.5476653696498055,0.4977545550535981,51.82156133828997,0.041567292740247154,7.713234349402065,0.6228802834725385,0.506482815394114,0.5000078986540246,entr,0.5,4,0.3,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/4,7398,0,0,0.0,3880,3518,0.5244660719113274,8070,0,0,0.0,4182,3888,0.5182156133828997
Adv-ALSTM,kdd17,52.44660719113274,0.042900911523238806,7.620524224283638,0.5759590792838875,0.5476653696498055,0.4977545550535981,51.82156133828997,0.041567292740247154,7.713234349402065,0.6228802834725385,0.506482815394114,0.5000078986540246,entr,0.5,4,0.2,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/4,7398,0,0,0.0,3880,3518,0.5244660719113274,8070,0,0,0.0,4182,3888,0.5182156133828997
Adv-ALSTM,kdd17,52.44660719113274,0.042900911523238806,7.620524224283638,0.5759590792838875,0.5476653696498055,0.4977545550535981,51.82156133828997,0.041567292740247154,7.713234349402065,0.6228802834725385,0.506482815394114,0.5000078986540246,entr,0.5,4,0.1,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/4,7398,0,0,0.0,3880,3518,0.5244660719113274,8070,0,0,0.0,4182,3888,0.5182156133828997
Adv-ALSTM,kdd17,52.44660719113274,0.042900911523238806,7.620524224283638,0.5759590792838875,0.5476653696498055,0.4977545550535981,51.82156133828997,0.041567292740247154,7.713234349402065,0.6228802834725385,0.506482815394114,0.5000078986540246,entr,0.5,4,0.0,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/4,7398,0,0,0.0,3880,3518,0.5244660719113274,8070,0,0,0.0,4182,3888,0.5182156133828997
Adv-ALSTM,kdd17,54.54545454545454,0.28867513459481287,7.2465385740453625,1.0,0.5,0.3962043523788452,54.54545454545454,0.3563483225498992,7.2465385740453625,1.0,0.4444444444444444,0.3967268168926239,std,0.5,5,1.0,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,11,7387,3503,0.47421145255178015,3509,3889,0.47431738307650717,11,8059,3889,0.48256607519543365,3895,4175,0.4826517967781908
Adv-ALSTM,kdd17,65.32258064516128,0.17588325867922824,5.536909811919744,0.9230769230769231,0.6605504587155964,0.3962043523788452,61.016949152542374,0.27953308064417715,6.219295235003463,0.9508196721311475,0.5742574257425742,0.3967268168926239,std,0.5,5,0.9,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.5/5,124,7274,3465,0.4763541380258455,3546,3852,0.4793187347931874,118,7952,3848,0.48390342052313884,3920,4150,0.4857496902106567
