method,dataset,dropout,run,prob,prob measure,ticker filename,total return,avg return,total log return,avg log return,profit per trade,sharpe ratio,best benchmark log return,best benchmark profit per trade,best benchmark return,best benchmark sharpe ratio,total trading days skipped,total trading days profitable,total trading days,total trading days averted loss by skipping,std log return before trading,log return beats benchmark,sharpe ratio beats benchmark
Adv-ALSTM,stocknet,0.75,3,1.0,std,BBL.csv,3.180801999999993,0.05680003571428559,0.0748958150738026,0.0013374252691750463,0.08835561111111091,0.09488656388837292,-0.07487465600637988,-56.085709,-0.08570899999999426,-0.001978213396241379,20,20,36,7,0.7619321811028682,True,True
Adv-ALSTM,stocknet,0.75,3,1.0,std,BAC.csv,-0.020624999999999005,-0.00044836956521736966,-0.0030925511308818494,-6.722937241047499e-05,-0.0010855263157894214,-0.0024208733105617287,0.013599279674796438,-45.76842600000001,0.23157399999999664,0.015439389896578297,27,7,19,7,0.3246978814655559,False,False
Adv-ALSTM,stocknet,0.75,3,1.0,std,PCG.csv,7.462925000000006,0.18657312500000015,0.14823681025671656,0.003705920256417914,0.5330660714285719,0.4167921125441752,0.2127665345262779,-29.310091999999987,10.689908000000015,0.3742778924446936,26,5,14,14,0.7635540416215849,False,True
Adv-ALSTM,stocknet,0.75,3,1.0,std,XOM.csv,3.230394000000018,0.07022595652173953,0.04260151378464506,0.0009261198648835882,0.14683609090909175,0.08060658199823419,0.09729438124584637,-38.86776399999995,7.132236000000049,0.10924229390749106,24,9,22,11,1.4258252120256125,False,False
Adv-ALSTM,stocknet,0.75,3,1.0,std,TOT.csv,4.996375000000022,0.11619476744186097,0.11262838638669892,0.0026192647996906727,0.23792261904762008,0.20223726495037542,0.20160913451950568,-34.121976999999994,8.878023000000006,0.25680291483276224,22,9,21,6,0.8300251285080699,False,False
Adv-ALSTM,stocknet,0.75,3,1.0,std,MCD.csv,-4.871597999999992,-0.16238659999999971,-0.050483053758719906,-0.001682768458623997,-0.25639989473684166,-0.16951185967880505,-0.0955426574330723,-39.468605,-9.468604999999997,-0.17102630383243056,11,12,19,6,1.7684978547527204,True,True
Adv-ALSTM,stocknet,0.75,3,1.0,std,INTC.csv,2.136077000000004,0.04967620930232567,0.06639567316484585,0.0015440854224382755,0.11867094444444465,0.15214497013871384,0.17573517757603713,-37.565866000000014,5.434133999999983,0.2559604237694756,25,8,18,12,0.49547741950557084,False,False
Adv-ALSTM,stocknet,0.75,3,1.0,std,JNJ.csv,5.0808239999999785,0.14943599999999937,0.051866431534828575,0.0015254832804361346,0.19541630769230686,0.13738583945436844,0.033453613537656315,-30.616677999999997,3.3833220000000064,0.08178822836858812,8,15,26,4,1.1853386173749805,True,True
Adv-ALSTM,stocknet,0.75,3,1.0,std,BA.csv,-1.6270679999999942,-0.037838790697674284,-0.009524992600990503,-0.00022151145583698846,-0.06026177777777756,-0.018649657061757006,-0.0791751554597647,-53.673446999999896,-10.673446999999896,-0.10965669913043112,16,18,27,4,2.2526937993707556,True,True
Adv-ALSTM,stocknet,0.75,3,1.0,std,DIS.csv,-1.616411000000042,-0.03848597619047719,-0.020806531982945544,-0.0004953936186415606,-0.05388036666666807,-0.02453258702344178,-0.01422727884555019,-42.84201400000003,-0.8420140000000202,-0.011429991185491987,12,15,30,5,1.7540791175364845,False,False
Adv-ALSTM,stocknet,0.75,3,1.0,std,IEP.csv,6.246715000000002,0.12012913461538464,0.09563903662743067,0.0018392122428352053,0.18929439393939398,0.11555696125050363,0.21446029105228148,-38.886661,13.113339000000005,0.19943212554883386,19,15,33,8,1.2877224226419388,False,False
Adv-ALSTM,stocknet,0.75,3,1.0,std,AAPL.csv,5.436245999999969,0.11817926086956454,0.04768464302901311,0.0010366226745437634,0.2090863846153834,0.07426410571952695,0.11919379101631085,-31.90510900000004,14.094890999999961,0.15288199978456327,20,13,26,11,2.0266982319102658,False,False
Adv-ALSTM,stocknet,0.75,3,1.0,std,D.csv,0.7746340000000131,0.023473757575757974,0.013699753352080525,0.00041514404097213714,0.04556670588235372,0.03921699768217852,0.11696072454537253,-25.782572999999967,7.217427000000035,0.249108349055028,16,8,17,6,0.9005096453271558,False,False
